pertanyaan,jawaban,createdAt,cosine,score
Kapan KMIPN dilaksanakan?,Kompetisi Mahasiswa Informatika Politeknik Nasional KMIPN VI akan dilaksanakan pada 1�3 Juli 2024. Pendaftaran dan pengajuan proposal akan dilakukan secara daring pada 22 Maret�13 Mei 2024,54:29.6,1,3.63
Kapan Periode Gemastik dilaksanakan?,"Tahap 1, Pendaftaran Perguruan Tinggi : 12 Mei - 10 Juli 2023 
 khusus Divisi II Keamanan Siber : 12 Mei  7 Juli 2023 
Tahap 2, pendaftaran tim untuk semua divisi lomba : 12 Mei - 10 Juli 2",55:05.3,1,3
Kapan Periode PMW dilakukan?,Pendaftaran Paling Lambat 8 Maret 2024,57:29.7,1,3
Kapan Pendaftaran PMW?,"Sosialisasi : 31 Maret 2023
Pengumpulan Proposal : 17 April 2023
Pengumuman Proposal Lolos Seleksi : 05 Mei 2023
Presentasi Proposal : 08 Mei 2023
Pengumuman Tim Lolos Seleksi : 12 Mei 20",,,
Apa itu Kampus Merdeka?,Kampus Merdeka merupakan kebijakan Menteri Pendidikan dan Kebudayaan Nadiem Makarim yang membebaskan mahasiswa untuk mengikuti kegiatan di luar program studinya selama 1 semester atau setara ,57:41.8,1,3.3
Apa saja program Kampus Merdeka?,"Terdapat program Kampus Merdeka dari Kemendikbud, Kemensos, serta BUMN",57:48.3,1,4.3923
Apa yang dimaksud dengan Badan Eksekutif Mahasiswa (BEM) di PENS?,"Badan Eksekutif Mahasiswa BEM adalah organisasi mahasiswa intra kampus yang merupakan lembaga eksekutif di tingkat Universitas atau Institusi. Dalam melaksanakan program � programnya, BEM mem",57:52.2,1,3.63
Apa itu PKM?,Program Kreativitas Mahasiswa PKM adalah program yang bertujuan untuk meningkatkan mutu mahasiswa di perguruan tinggi. PKM diharapkan dapat meningkatkan soft skill dan kompetensi mahasiswa In,57:57.2,1,3.3
Bagaimana cara mendaftar PENS?,"Untuk mendaftar di Politeknik Elektronika Negeri Surabaya (PENS), Anda perlu mengikuti prosedur pendaftaran yang telah ditetapkan oleh lembaga tersebut. Berikut langkah-langkah umum untuk men",58:04.3,1,3.63
Terdapat Jurusan apa saja di PENS?,Politeknik Elektronika Negeri Surabaya (PENS) menawarkan berbagai program studi atau jurusan dalam bidang teknik elektronika dan informatika. Beberapa program studi yang tersedia di PENS anta,58:08.2,1,3.3
Apa yang dimaksud dengan PORSENI di PENS?,PORSENI adalah singkatan dari Pekan Olahraga dan Seni yang merupakan rangkaian kegiatan kompetisi olahraga dan seni antar mahasiswa Politeknik seluruh indonesia,58:16.3,1,3
Cara melihat jadwal Kuliah Secara Online di PENS?,Mahasiswa dapat mengakses melalui online.mis.pens.ac.id,58:21.7,1,3.63
Apa itu PENS?,"PENS adalah singkatan dari Politeknik Elektronika Negeri Surabaya. PENS adalah institusi pendidikan tinggi dengan bidang keahlian yang meliputi Teknik Informatika, Teknik Elektro Industri, Te",58:25.7,1,3.3
Sejarah PENS?,"Awal sejarah PENS dimulai pada tahun 1985. Saat itu, tim studi awal Japan International Cooperation Agency (JICA) untuk bantuan dan kerjasama teknik yang dikepalai oleh Prof. Y. Naito dari To",58:29.9,1,3.993
Fasilitas PENS?,"26 ruang kelas dan lebih dari 44 laboratorium atau studio
Hall
Theater
Auditorium
Perpustakaan (D3 dan D4)
Ruang Sidang
Ruang Virtual Conference
Ruang Tugas Akhir untuk masing-masing j",58:34.9,1,3.63
Himpunan yang ada di PENS?,"HIMAELKA, HIMATELKOM, HIMIT, HIMAELIN, HIMAMMB, HIMAENERGI, dan HMCE",59:47.4,1,3.993
Komunitas yang ada di PENS?,"""PENS Rider"" Komunitas Pengendara Motor
""Janaka"" (Japanese nakama), Komunitas Pecinta Budaya Jepang[30]
Komunitas Tim Medis[31]
Komunitas Debat Bahasa Inggris
Komunitas PENS Reggae
""Game",59:59.3,1,5.8461513
Prestasi PENS di bidang robotika?,"2023
JUARA UMUM KONTES ROBOT INDONESIA 2023
KRI NASIONAL 2023 JUARA 1 KRSTI ( ERISA )
KRI NASIONAL 2023 JUARA 1 KRSBI-B ( ERSOW )
KRI NASIONAL 2023 JUARA 1 KRAI ( EIRA )
KRI NASIONAL 2023 JUA",00:03.7,1,4.3923
Bagaimana Kegiatan Belajar di PENS?,Politeknik Elektronika Negeri Surabaya merupakan perguruan tinggi politeknik yang meniru gaya pembelajaran Jepang dengan jumlah SKS dan praktikum yang tinggi di setiap semesternya. Untuk seme,00:08.3,1,3
